tag,seed,n_samples,n_clusters,vocab_size,max_df,min_df,ngram_range,max_features,sublinear_tf,n_init,nmi,ari,acc,silhouette_cosine,preset,feature_mode
550,42,550,5,4719,0.8,4,"(1, 1)",,True,50,0.662568,0.487161,0.758182,0.046574,,
750,42,750,5,6195,0.8,4,"(1, 1)",,True,50,0.657748,0.482385,0.748,0.043256,,
1000,42,1000,5,7858,0.8,4,"(1, 1)",,True,50,0.672557,0.504323,0.758,0.041355,,
550,42,550,5,4651,0.8,4,"(1, 1)",,True,50,0.650438,0.467506,0.749091,0.044658,,
750,42,750,5,6117,0.8,4,"(1, 1)",,True,50,0.651345,0.472872,0.744,0.041416,,
1000,42,1000,5,7784,0.8,4,"(1, 1)",,True,50,0.652956,0.460765,0.741,0.039155,,
440,42,440,4,4210,0.8,4,"(1, 1)",,True,50,0.703923,0.598749,0.818182,0.054675,,
600,42,600,4,5288,0.8,4,"(1, 1)",,True,50,0.461292,0.215897,0.628333,0.051202,,
800,42,800,4,6620,0.8,4,"(1, 1)",,True,50,0.570957,0.375621,0.6975,0.048008,,
440,52,440,4,20000,0.75,3,"(2, 4)",20000.0,True,60,0.730531,0.639469,0.831818,0.062024,440.0,char
600,42,600,4,30000,0.95,2,"(2, 4)",30000.0,True,100,0.724267,0.632557,0.833333,0.053938,600.0,char
800,42,800,4,40000,0.95,2,"(2, 4)",40000.0,True,120,0.735183,0.661012,0.84375,0.049569,800.0,char
800,42,800,4,40000,0.95,2,"(2, 4)",40000.0,True,120,0.735183,0.661012,0.84375,0.049569,800,char
