rank_id,tag,feature_mode,ngram_range,min_df,max_df,max_features,sublinear_tf,svd_dim,svd_dim_used,seed,n_init,n_samples,n_clusters,vocab_size,acc,nmi,ari,silhouette_cosine,elapsed_seconds,cluster_to_label_mapping,representation
13,800,char,"(2, 4)",2,0.95,40000,True,150,150,42,80,800,4,40000,0.845,0.738928,0.663727,0.122168,6.0077,"{0: 1, 1: 3, 2: 0, 3: 2}",TF-IDF + TruncatedSVD + Normalizer
14,800,char,"(2, 4)",2,0.95,40000,True,150,150,42,120,800,4,40000,0.845,0.738928,0.663727,0.122168,6.5599,"{0: 1, 1: 3, 2: 0, 3: 2}",TF-IDF + TruncatedSVD + Normalizer
17,800,char,"(2, 4)",2,0.95,40000,True,150,150,66,80,800,4,40000,0.845,0.738928,0.663727,0.122157,5.9073,"{0: 2, 1: 3, 2: 1, 3: 0}",TF-IDF + TruncatedSVD + Normalizer
18,800,char,"(2, 4)",2,0.95,40000,True,150,150,66,120,800,4,40000,0.845,0.738928,0.663727,0.122157,6.1486,"{0: 2, 1: 3, 2: 1, 3: 0}",TF-IDF + TruncatedSVD + Normalizer
16,800,char,"(2, 4)",2,0.95,40000,True,150,150,52,120,800,4,40000,0.84375,0.736383,0.660194,0.122292,6.0757,"{0: 2, 1: 0, 2: 1, 3: 3}",TF-IDF + TruncatedSVD + Normalizer
11,800,char,"(2, 4)",2,0.95,40000,True,100,100,66,80,800,4,40000,0.84375,0.735754,0.659992,0.151437,3.9867,"{0: 0, 1: 3, 2: 1, 3: 2}",TF-IDF + TruncatedSVD + Normalizer
12,800,char,"(2, 4)",2,0.95,40000,True,100,100,66,120,800,4,40000,0.84375,0.735754,0.659992,0.151437,4.6657,"{0: 0, 1: 3, 2: 1, 3: 2}",TF-IDF + TruncatedSVD + Normalizer
15,800,char,"(2, 4)",2,0.95,40000,True,150,150,52,80,800,4,40000,0.84375,0.735754,0.659992,0.122264,5.7242,"{0: 1, 1: 0, 2: 2, 3: 3}",TF-IDF + TruncatedSVD + Normalizer
5,800,char,"(2, 4)",2,0.95,40000,True,50,50,66,80,800,4,40000,0.84375,0.729355,0.656952,0.217643,2.1885,"{0: 1, 1: 2, 2: 0, 3: 3}",TF-IDF + TruncatedSVD + Normalizer
6,800,char,"(2, 4)",2,0.95,40000,True,50,50,66,120,800,4,40000,0.84375,0.729355,0.656952,0.217643,2.6813,"{0: 1, 1: 2, 2: 0, 3: 3}",TF-IDF + TruncatedSVD + Normalizer
25,800,char,"(2, 4)",2,0.95,40000,True,300,300,42,80,800,4,40000,0.8425,0.741549,0.655945,0.08477,20.5986,"{0: 3, 1: 1, 2: 0, 3: 2}",TF-IDF + TruncatedSVD + Normalizer
26,800,char,"(2, 4)",2,0.95,40000,True,300,300,42,120,800,4,40000,0.8425,0.741549,0.655945,0.08477,28.0158,"{0: 3, 1: 1, 2: 0, 3: 2}",TF-IDF + TruncatedSVD + Normalizer
3,800,char,"(2, 4)",2,0.95,40000,True,50,50,52,80,800,4,40000,0.8425,0.728605,0.655377,0.218976,2.2594,"{0: 2, 1: 3, 2: 0, 3: 1}",TF-IDF + TruncatedSVD + Normalizer
4,800,char,"(2, 4)",2,0.95,40000,True,50,50,52,120,800,4,40000,0.8425,0.728605,0.655377,0.218976,2.6564,"{0: 2, 1: 3, 2: 0, 3: 1}",TF-IDF + TruncatedSVD + Normalizer
1,800,char,"(2, 4)",2,0.95,40000,True,50,50,42,80,800,4,40000,0.8425,0.728605,0.655377,0.217366,30.5414,"{0: 1, 1: 0, 2: 3, 3: 2}",TF-IDF + TruncatedSVD + Normalizer
2,800,char,"(2, 4)",2,0.95,40000,True,50,50,42,120,800,4,40000,0.8425,0.728605,0.655377,0.217366,2.8601,"{0: 1, 1: 0, 2: 3, 3: 2}",TF-IDF + TruncatedSVD + Normalizer
23,800,char,"(2, 4)",2,0.95,40000,True,200,200,66,80,800,4,40000,0.84,0.736981,0.649093,0.104787,7.1145,"{0: 3, 1: 1, 2: 2, 3: 0}",TF-IDF + TruncatedSVD + Normalizer
21,800,char,"(2, 4)",2,0.95,40000,True,200,200,52,80,800,4,40000,0.84,0.733465,0.649588,0.10489,7.9698,"{0: 2, 1: 3, 2: 0, 3: 1}",TF-IDF + TruncatedSVD + Normalizer
22,800,char,"(2, 4)",2,0.95,40000,True,200,200,52,120,800,4,40000,0.84,0.733465,0.649588,0.10489,7.6556,"{0: 2, 1: 3, 2: 0, 3: 1}",TF-IDF + TruncatedSVD + Normalizer
19,800,char,"(2, 4)",2,0.95,40000,True,200,200,42,80,800,4,40000,0.84,0.733465,0.649588,0.104701,7.1698,"{0: 2, 1: 1, 2: 3, 3: 0}",TF-IDF + TruncatedSVD + Normalizer
